"EMPRESA";"EMAIL";"TELEFONO";"DIRECCION";"CODIGO_POSTAL";"MUNICIPIO";"PROVINCIA";"EMPLEADOS";"AREA_CONTACTO";"PRIORIDAD";"FUENTE"
"Olot Meats S.A.";"olotmeats@olotmeats.com";"+34 972 269 250";"Av. Europa, 8";"17800";"Olot";"Girona";"400 planta / 1.400 grupo";"Corporativo";"A";"https://www.olotmeats.com/es/contact-us/"
"Noel Alimentaria S.A.U.";"noel@noel.es";"+34 902 202 303";"Av. Antoni Gaudí, 25 (Noel 2)";"17800";"Olot";"Girona";"1.000+ aprox. grupo";"Corporativo / Personas";"A";"https://www.noelalimentaria.com/aviso-legal/"
"Esteban Espuña S.A.";"info@espuna.com";"+34 972 270 650";"C/ Mestre Turina, 39-41";"17800";"Olot";"Girona";"300+ aprox.";"Corporativo";"A";"https://www.espuna.es/contacto"
"Embutidos Caseros Collell S.L.U.";"info@embutidos-collell.com";"+34 972 276 434";"Av. Europa, 29-30, Pol. Ind. Pla de Baix";"17800";"Olot";"Girona";"280 aprox.";"Corporativo";"A";"https://www.costabravafoods.com/contacto/"
"Precuinats El Salt del Sallent S.L.";"produccio@saltdelsallent.com";"+34 972 273 845";"C/ Vallespir, 17, Pol. Ind. La Canya";"17800";"Olot";"Girona";"33 aprox.";"Producción / Dirección";"B";"https://www.saltdelsallent.com/"
"Bellapart S.A.U.";"bellapart@bellapart.com";"+34 972 275 001";"Ctra. de la Parcel·lària, 32";"17178";"Les Preses";"Girona";"50-200 aprox.";"Corporativo / RRHH";"A";"https://www.bellapart.com/contact/"
"Resinas Olot S.L. (Resol)";"info@resol.es";"+34 972 694 700";"Ctra. Santa Coloma, km 46, Pol. Ind. Les Preses";"17178";"Les Preses";"Girona";"100+ aprox.";"Corporativo";"A";"https://www.resol.es/textos-legales/aviso-legal/"
"Spinreact S.A.U.";"spinreact@spinreact.com";"+34 972 690 800";"Ctra. Santa Coloma, 7";"17176";"Sant Esteve d'en Bas";"Girona";"100+ aprox.";"Corporativo / Salud";"A";"https://www.spinreact.com/assets/files/Catalegs/spincell_3n.pdf"
"TAVIL IND S.A.U.";"rrhh@tavil.net";"+34 972 290 105";"Polígon Industrial Poliger Sud, Sector 1";"17854";"Sant Jaume de Llierca";"Girona";"501-1.000 aprox.";"Recursos Humanos";"A";"https://doctoratsindustrials.gencat.cat/wp-content/uploads/162_DI_TAVIL_UdG_20251127.pdf"
"Zoetis Manufacturing & Research Spain S.L.";"alicia.urniza@zoetis.com";"+34 972 290 001";"Ctra. de Camprodon, s/n, La Riba";"17813";"La Vall de Bianya";"Girona";"200+ aprox. centro";"I+D / Dirección";"A";"https://www.miteco.gob.es/content/dam/miteco/es/calidad-y-evaluacion-ambiental/temas/biotecnologia/a_es_20_05_informacion_publica_tcm30-506478.pdf"
